R&D Spend,Administration,Marketing Spend
66250,102736,94270
122547,157892,266901
134249,160133,19097
44754,156357,141467
152483,118866,147313
143983,69087,158768
149752,91430,246726
94896,74504,46163
81295,57114,19816
110689,128859,233619
21111,149657,155989
47504,60975,96731
142874,61023,152638
18155,71447,206524
49384,140469,62823
122561,175899,151878
57254,73959,206592
31918,116203,1759
95981,169156,257164
40306,79703,133554
157718,59337,286586
56843,96427,93501
130975,171507,264223
106601,111529,59676
117512,152023,217516
157443,134665,173532
121472,155787,90397
143121,81921,72847
172688,83307,93607
113727,77355,220178
122893,153268,149521
30932,177016,64077
127796,54835,179374
39855,70159,257009
184088,154346,137717
17400,97605,38000
127858,171790,26737
183714,155616,273629
25151,88088,186240
192479,128752,52487
76690,105284,274486
14499,107043,78623
16295,175388,183675
130885,85547,213046
136071,147007,105947
69040,132844,288543
22183,77532,128177
170371,84349,216454
153946,172402,109575
126336,168012,207606
42711,95445,292822
15539,55713,76218
194423,106178,63230
189426,99407,245756
136063,120340,162552
143629,100990,39986
48360,125672,155232
143272,179473,101358
188047,115545,73506
31357,134791,34911
129121,108141,206111
87505,73793,84458
12869,106570,12175
60108,145084,121300
122296,87892,86925
104179,51015,244446
100272,174704,66358
48467,111813,47057
33328,77712,268294
101412,150497,266569
145059,58415,254726
68871,161854,278176
163471,162816,2198
138391,178778,184466
187286,112292,167292
96416,73833,144931
80271,54158,162491
54064,112680,260910
117450,70309,23236
181890,56970,87955
186597,122474,216586
29830,136704,103145
158501,96540,146430
147965,70384,230785
126381,68017,94914
57333,125880,207990
144508,155570,14596
86213,58702,132351
146967,50384,194269
160810,50404,138155
40746,90943,120674
59377,97926,257529
189476,79189,240469
64045,62763,256713
107888,68384,19063
180862,110100,67642
117455,148142,90093
146672,59860,217215
103179,154293,182992
181836,130642,159601
55714,100612,35954
197907,73574,27856
112946,73524,2573
119616,119172,35367
115983,60916,237804
197563,54809,23752
134123,82201,148757
159661,103330,116739
53484,63456,238009
92989,163748,256028
46212,106397,207980
53525,171288,256609
188274,88765,188456
173707,84816,31653
73208,95106,157729
43828,103932,228504
159783,67100,121829
13420,107091,128377
106752,71949,1622
141373,120080,48756
186308,87744,40809
125294,95543,16725
195312,158319,192468
134019,142193,51226
75726,86187,81182
151564,162734,29402
125668,57239,4263
16102,174454,227595
191408,64489,177900
128015,164937,47924
36641,108017,224137
175656,111877,297881
173817,93125,160445
164165,99922,167469
113746,144074,101371
192957,82049,38709
46631,87131,192192
82991,92944,150322
14014,165765,21172
21093,123963,11555
28070,156884,53276
45777,175917,57492
66958,74285,184074
92074,87626,256010
20729,92808,222320
186089,138464,11046
168823,103871,228071
115864,69198,184374
140858,69758,266997
115510,65254,120900
64748,94238,59129
15801,51252,237091
160262,89764,205550
190761,127709,244883
192065,87441,114130
39592,142234,146922
20647,103682,121789
149788,109494,155130
120627,131317,176492
80316,115215,38890
12368,128587,66017
87575,155185,178376
16655,56949,163993
80031,157825,132596
97922,105393,100424
196838,123553,277192
134046,56941,168976
154475,75934,34008
42097,73386,205738
152038,175362,83559
134862,111886,55337
128834,125745,275494
103848,133251,24354
62921,144456,45186
190798,103413,28145
136141,106800,86123
191372,147239,206258
32677,92318,216541
65609,169803,20581
197733,120173,88929
41024,120390,285195
80313,102329,51474
137813,172418,91748
194078,93088,125995
105285,166868,245690
156410,153196,269104
123632,89811,180553
160580,164825,36408
13051,105479,259568
189819,135392,151563
124692,137369,132413
97235,167520,175695
195093,69963,90327
199407,105123,202503
197251,175911,143326
173165,152468,182932
180806,142705,11344
83523,123477,67957
104476,64388,105423
27019,55569,146968
93613,119836,186833
96672,154573,193624
83847,86586,251147
92750,177018,77454
38251,62015,257594
113481,95002,37641
122566,166594,29711
35945,56254,143254
100852,67144,87833
42217,74214,281685
18308,155654,44813
15949,130719,168270
193062,121774,139892
142222,56090,286214
110235,61637,204615
84740,72415,41786
126352,74071,226006
76617,108243,230876
26896,160951,298206
140798,175827,287654
187247,158215,281570
148877,91240,37265
15237,176146,249321
30056,133807,66150
186615,151570,87312
197628,83434,89613
124548,119724,121826
121488,165359,35435
144415,125697,210017
154572,78732,134055
194294,171465,151734
39375,61314,285654
150734,73954,209259
26964,107108,172070
123429,137044,94071
77215,137505,268784
79042,161195,146389
154356,153081,115608
103468,86668,269708
19435,73061,158417
195412,129252,113824
185150,89749,254444
88832,179668,79273
61293,154680,211837
88781,66907,110017
170196,68777,123618
53919,143229,125341
176319,101745,291574
131172,158464,206604
104758,178077,27788
66573,141865,226577
69101,162428,39974
36646,131818,16371
114185,73624,182256
33049,73321,73972
108116,60488,193259
107379,72574,275128
78385,55240,295183
136131,93221,85431
181230,60478,105373
33289,178055,181144
120226,105645,286718
110793,160698,250195
19823,69262,143748
51975,168831,32733
19540,102796,216752
26364,54432,2050
145683,145257,109996
37663,114291,33933
61991,129104,24951
198751,109399,32413
114182,177600,165873
172049,129714,186691
104704,100428,188847
59115,137731,221888
101007,175646,261044
159143,50302,221165
21938,132558,243662
176267,50055,166472
101680,161317,211760
14000,58717,122744
111042,177449,205763
103610,78699,43001
