Quarter,Year,Period,Region,Product,Is_Forecast,Revenue,COGS,R&D Spend,Marketing Spend,Administration,Total Costs,Profit,Margin_Pct,CI_Lower,CI_Upper
2023-Q2,2023,Q2,Asia-Pacific,Cloud AI Services,False,1082527.93,378433.71,175907.71,146896.41,86164.77,787402.6,295125.32,27.26,283320.31,306930.33
2023-Q2,2023,Q2,Asia-Pacific,Edge Hardware,False,712066.46,382363.37,81781.89,98373.27,57114.27,619632.8,92433.66,12.98,88736.31,96131.0
2023-Q3,2023,Q3,North America,Enterprise SaaS,False,2753455.04,936034.19,341944.39,385602.05,215952.34,1879532.97,873922.07,31.74,838965.19,908878.95
2023-Q3,2023,Q3,North America,Cloud AI Services,False,1767659.63,621143.96,312449.45,247990.57,140323.01,1321906.98,445752.65,25.22,427922.54,463582.75
2023-Q3,2023,Q3,North America,Edge Hardware,False,1162306.45,612403.18,146113.15,156680.28,96951.3,1012147.91,150158.55,12.92,144152.21,156164.89
2023-Q3,2023,Q3,Europe,Enterprise SaaS,False,1800066.2,628110.61,219820.38,254133.65,142211.86,1244276.49,555789.71,30.88,533558.13,578021.3
2023-Q3,2023,Q3,Europe,Cloud AI Services,False,1290847.83,447342.02,228244.4,185324.87,104005.19,964916.47,325931.36,25.25,312894.11,338968.62
2023-Q3,2023,Q3,Europe,Edge Hardware,False,843737.49,446637.37,102181.91,121003.79,68348.99,738172.04,105565.44,12.51,101342.83,109788.06
2023-Q3,2023,Q3,Asia-Pacific,Enterprise SaaS,False,1678027.5,580729.63,205877.62,239225.57,134186.08,1160018.9,518008.59,30.87,497288.25,538728.94
2023-Q3,2023,Q3,Asia-Pacific,Cloud AI Services,False,1162482.79,417265.82,205533.37,165418.75,92622.55,880840.49,281642.3,24.23,270376.61,292907.99
2023-Q3,2023,Q3,Asia-Pacific,Edge Hardware,False,764651.92,406356.89,94030.39,109663.89,62769.33,672820.5,91831.42,12.01,88158.16,95504.68
2023-Q4,2023,Q4,North America,Enterprise SaaS,False,2679512.47,950620.48,318548.59,378779.9,213803.05,1861752.01,817760.46,30.52,785050.05,850470.88
2023-Q4,2023,Q4,North America,Cloud AI Services,False,1791767.0,634583.13,314601.33,266593.48,140457.28,1356235.22,435531.78,24.31,418110.51,452953.05
2023-Q4,2023,Q4,North America,Edge Hardware,False,1132104.47,602329.79,139079.02,161462.22,91706.52,994577.55,137526.92,12.15,132025.85,143028.0
2023-Q4,2023,Q4,Europe,Enterprise SaaS,False,2006963.73,689832.01,241383.34,275266.96,163688.35,1370170.65,636793.08,31.73,611321.36,662264.8
2023-Q4,2023,Q4,Europe,Cloud AI Services,False,1330757.35,458075.32,237226.82,188613.98,105260.3,989176.41,341580.94,25.67,327917.7,355244.18
2023-Q4,2023,Q4,Europe,Edge Hardware,False,863070.38,450983.92,104329.57,118992.24,68395.17,742700.89,120369.49,13.95,115554.71,125184.27
2023-Q4,2023,Q4,Asia-Pacific,Enterprise SaaS,False,1801409.01,612233.01,207041.58,246761.57,143497.51,1209533.66,591875.34,32.86,568200.33,615550.35
2023-Q4,2023,Q4,Asia-Pacific,Cloud AI Services,False,1204692.63,434083.88,222424.04,167847.73,96338.76,920694.4,283998.23,23.57,272638.3,295358.16
2023-Q4,2023,Q4,Asia-Pacific,Edge Hardware,False,761452.37,395808.63,90583.01,107635.42,59908.35,653935.41,107516.97,14.12,103216.29,111817.65
2024-Q1,2024,Q1,North America,Enterprise SaaS,False,2808310.07,1013039.37,335897.65,397901.56,227765.83,1974604.4,833705.66,29.69,800357.44,867053.89
2024-Q1,2024,Q1,North America,Cloud AI Services,False,1804670.04,634465.4,324963.32,253394.15,142141.56,1354964.44,449705.6,24.92,431717.38,467693.82
2024-Q1,2024,Q1,North America,Edge Hardware,False,1223935.62,642785.51,153266.26,176282.15,102131.42,1074465.33,149470.29,12.21,143491.48,155449.1
2024-Q1,2024,Q1,Europe,Enterprise SaaS,False,2000035.59,712225.16,241324.36,298399.65,157416.25,1409365.42,590670.17,29.53,567043.36,614296.98
2024-Q1,2024,Q1,Europe,Cloud AI Services,False,1329374.8,459703.46,224040.82,183176.98,104735.31,971656.57,357718.23,26.91,343409.5,372026.96
2024-Q1,2024,Q1,Europe,Edge Hardware,False,922569.39,483015.14,116939.56,132842.41,72953.98,805751.08,116818.31,12.66,112145.58,121491.04
2024-Q1,2024,Q1,Asia-Pacific,Enterprise SaaS,False,1768193.78,624956.48,203779.31,261148.3,144792.27,1234676.36,533517.42,30.17,512176.72,554858.11
2024-Q1,2024,Q1,Asia-Pacific,Cloud AI Services,False,1199789.71,405538.59,224733.7,167393.38,98359.37,896025.04,303764.67,25.32,291614.08,315915.26
2024-Q1,2024,Q1,Asia-Pacific,Edge Hardware,False,763169.48,392090.91,91594.74,106994.32,60504.0,651183.97,111985.51,14.67,107506.09,116464.93
2024-Q2,2024,Q2,North America,Enterprise SaaS,False,2895435.99,991764.01,345968.22,406823.93,234018.12,1978574.28,916861.71,31.67,880187.24,953536.18
2024-Q2,2024,Q2,North America,Cloud AI Services,False,1936977.74,662693.36,332609.65,281571.18,155988.12,1432862.3,504115.44,26.03,483950.82,524280.05
2024-Q2,2024,Q2,North America,Edge Hardware,False,1217987.59,653002.1,146665.72,176551.01,97570.59,1073789.41,144198.18,11.84,138430.25,149966.1
2024-Q2,2024,Q2,Europe,Enterprise SaaS,False,2293441.11,830884.79,273157.39,330440.37,185843.5,1620326.04,673115.07,29.35,646190.47,700039.67
2024-Q2,2024,Q2,Europe,Cloud AI Services,False,1489855.44,511386.23,273693.41,215202.74,114996.01,1115278.39,374577.05,25.14,359593.97,389560.13
2024-Q2,2024,Q2,Europe,Edge Hardware,False,897113.98,447473.26,106783.6,128299.57,73925.57,756482.0,140631.97,15.68,135006.69,146257.25
2024-Q2,2024,Q2,Asia-Pacific,Enterprise SaaS,False,1888950.33,682667.23,217289.04,250939.11,150948.14,1301843.53,587106.8,31.08,563622.53,610591.08
2024-Q2,2024,Q2,Asia-Pacific,Cloud AI Services,False,1274867.93,445912.0,215243.36,178004.32,99328.59,938488.28,336379.65,26.39,322924.46,349834.83
2024-Q2,2024,Q2,Asia-Pacific,Edge Hardware,False,859474.68,450203.68,100228.87,118471.5,67301.39,736205.44,123269.23,14.34,118338.47,128200.0
2024-Q3,2024,Q3,North America,Enterprise SaaS,False,2891679.23,1031421.49,336740.06,410956.76,228881.0,2007999.31,883679.92,30.56,848332.73,919027.12
2024-Q3,2024,Q3,North America,Cloud AI Services,False,1871338.34,653566.39,326379.54,257635.89,146120.45,1383702.27,487636.06,26.06,468130.62,507141.5
2024-Q3,2024,Q3,North America,Edge Hardware,False,1389676.78,723141.58,163260.6,195803.67,110924.38,1193130.24,196546.55,14.14,188684.68,204408.41
2024-Q3,2024,Q3,Europe,Enterprise SaaS,False,2154993.15,763512.28,264475.9,296897.49,170414.04,1495299.71,659693.44,30.61,633305.7,686081.18
2024-Q3,2024,Q3,Europe,Cloud AI Services,False,1433526.48,478635.21,246305.61,208923.4,118455.09,1052319.3,381207.17,26.59,365958.89,396455.46
2024-Q3,2024,Q3,Europe,Edge Hardware,False,956689.89,503215.24,115874.76,146307.83,78248.93,843646.76,113043.14,11.82,108521.41,117564.86
2024-Q3,2024,Q3,Asia-Pacific,Enterprise SaaS,False,1922742.88,660099.2,219609.53,270827.08,151492.6,1302028.4,620714.48,32.28,595885.9,645543.05
2024-Q3,2024,Q3,Asia-Pacific,Cloud AI Services,False,1215122.59,419793.25,211625.31,178727.51,98923.89,909069.96,306052.62,25.19,293810.52,318294.73
2024-Q3,2024,Q3,Asia-Pacific,Edge Hardware,False,858673.45,459726.39,103279.98,117108.12,70786.46,750900.95,107772.49,12.55,103461.59,112083.39
2024-Q4,2024,Q4,North America,Enterprise SaaS,False,3036925.88,1040873.78,362350.15,414001.04,236234.93,2053459.9,983465.99,32.38,944127.35,1022804.63
2024-Q4,2024,Q4,North America,Cloud AI Services,False,2055318.19,746832.58,354434.97,292604.29,162285.81,1556157.64,499160.55,24.29,479194.13,519126.97
2024-Q4,2024,Q4,North America,Edge Hardware,False,1295518.32,665687.97,151432.66,181636.58,101919.05,1100676.26,194842.06,15.04,187048.38,202635.74
2024-Q4,2024,Q4,Europe,Enterprise SaaS,False,2253752.34,788020.75,268511.57,306934.55,178220.35,1541687.22,712065.12,31.59,683582.52,740547.73
2024-Q4,2024,Q4,Europe,Cloud AI Services,False,1531334.23,541336.48,267556.56,215025.66,124347.74,1148266.43,383067.79,25.02,367745.08,398390.51
2024-Q4,2024,Q4,Europe,Edge Hardware,False,924775.66,486109.2,108767.08,131684.83,72852.7,799413.81,125361.85,13.56,120347.37,130376.32
2024-Q4,2024,Q4,Asia-Pacific,Enterprise SaaS,False,1838811.28,622634.75,220975.66,259439.42,144444.31,1247494.14,591317.14,32.16,567664.46,614969.83
2024-Q4,2024,Q4,Asia-Pacific,Cloud AI Services,False,1355013.11,458494.92,243418.85,182809.87,106987.85,991711.49,363301.61,26.81,348769.55,377833.68
2024-Q4,2024,Q4,Asia-Pacific,Edge Hardware,False,882512.14,451009.33,104679.71,127281.57,69786.39,752757.0,129755.14,14.7,124564.93,134945.34
2025-Q1,2025,Q1,North America,Enterprise SaaS,False,3148582.2,1077104.95,383835.14,459864.88,239435.09,2160240.06,988342.14,31.39,948808.46,1027875.83
2025-Q1,2025,Q1,North America,Cloud AI Services,False,1966413.09,696187.92,351798.29,278363.1,155412.75,1481762.06,484651.03,24.65,465264.99,504037.07
2025-Q1,2025,Q1,North America,Edge Hardware,False,1358795.33,704373.62,168767.84,191683.31,109437.6,1174262.37,184532.96,13.58,177151.64,191914.28
2025-Q1,2025,Q1,Europe,Enterprise SaaS,False,2247406.21,778921.23,266189.06,318360.14,178278.7,1541749.14,705657.07,31.4,677430.79,733883.36
2025-Q1,2025,Q1,Europe,Cloud AI Services,False,1541025.78,561746.74,284633.74,213633.48,126243.82,1186257.79,354767.98,23.02,340577.27,368958.7
2025-Q1,2025,Q1,Europe,Edge Hardware,False,999001.64,498305.52,116254.71,132010.75,79358.27,825929.25,173072.39,17.32,166149.5,179995.29
2025-Q1,2025,Q1,Asia-Pacific,Enterprise SaaS,False,2032654.32,735282.33,246310.83,282701.11,165309.78,1429604.05,603050.27,29.67,578928.26,627172.28
2025-Q1,2025,Q1,Asia-Pacific,Cloud AI Services,False,1234340.86,434055.1,227319.51,165142.39,101006.12,927523.12,306817.74,24.86,294545.03,319090.45
2025-Q1,2025,Q1,Asia-Pacific,Edge Hardware,False,914959.77,471827.37,111879.46,136820.26,73463.02,793990.12,120969.65,13.22,116130.87,125808.44
2025-Q2,2025,Q2,North America,Enterprise SaaS,False,3151615.78,1092931.42,368551.71,452217.19,247812.39,2161512.71,990103.07,31.42,950498.95,1029707.19
2025-Q2,2025,Q2,North America,Cloud AI Services,False,2086376.57,723255.79,380944.18,295016.53,170373.64,1569590.13,516786.43,24.77,496114.98,537457.89
2025-Q2,2025,Q2,North America,Edge Hardware,False,1358652.73,702686.09,158251.05,187676.09,109512.41,1158125.64,200527.09,14.76,192506.01,208548.17
2025-Q2,2025,Q2,Europe,Enterprise SaaS,False,2411342.16,828404.16,296909.96,351317.31,194502.47,1671133.9,740208.26,30.7,710599.93,769816.59
2025-Q2,2025,Q2,Europe,Cloud AI Services,False,1677451.56,578022.09,290666.9,222311.61,138211.39,1229211.99,448239.57,26.72,430309.99,466169.15
2025-Q2,2025,Q2,Europe,Edge Hardware,False,1067437.65,554450.51,129168.37,144395.44,89572.11,917586.43,149851.21,14.04,143857.17,155845.26
2025-Q2,2025,Q2,Asia-Pacific,Enterprise SaaS,False,2091174.43,733512.4,256404.67,296989.09,168043.04,1454949.2,636225.23,30.42,610776.22,661674.24
2025-Q2,2025,Q2,Asia-Pacific,Cloud AI Services,False,1343093.51,474515.31,255406.6,195622.6,110871.16,1036415.67,306677.84,22.83,294410.73,318944.96
2025-Q2,2025,Q2,Asia-Pacific,Edge Hardware,False,905724.13,461654.94,108276.75,127013.36,74043.59,770988.64,134735.5,14.88,129346.08,140124.92
2025-Q3,2025,Q3,North America,Enterprise SaaS,False,2978261.4,1074279.3,355697.25,411616.87,233438.01,2075031.43,903229.97,30.33,867100.78,939359.17
2025-Q3,2025,Q3,North America,Cloud AI Services,False,1988711.33,707508.3,358755.4,267645.07,154976.05,1488884.83,499826.5,25.13,479833.44,519819.56
2025-Q3,2025,Q3,North America,Edge Hardware,False,1400719.73,752687.71,166777.35,187257.74,111506.83,1218229.63,182490.1,13.03,175190.5,189789.7
2025-Q3,2025,Q3,Europe,Enterprise SaaS,False,2369758.06,784678.54,283907.77,329467.64,192220.39,1590274.34,779483.72,32.89,748304.37,810663.07
2025-Q3,2025,Q3,Europe,Cloud AI Services,False,1715393.94,613915.4,306280.16,232183.01,144294.44,1296673.01,418720.93,24.41,401972.09,435469.77
2025-Q3,2025,Q3,Europe,Edge Hardware,False,1067364.44,555184.13,127991.03,150319.02,85142.62,918636.8,148727.63,13.93,142778.53,154676.74
2025-Q3,2025,Q3,Asia-Pacific,Enterprise SaaS,False,2080815.45,720320.02,249452.5,286564.94,164091.96,1420429.42,660386.03,31.74,633970.59,686801.47
2025-Q3,2025,Q3,Asia-Pacific,Cloud AI Services,False,1425833.81,496496.95,268230.08,183741.4,116556.8,1065025.23,360808.59,25.31,346376.24,375240.93
2025-Q3,2025,Q3,Asia-Pacific,Edge Hardware,False,993704.41,495298.79,118018.62,137568.39,77258.51,828144.31,165560.1,16.66,158937.7,172182.51
2025-Q4,2025,Q4,North America,Enterprise SaaS,False,3166731.76,1083737.84,399984.1,455787.22,259781.22,2199290.39,967441.36,30.55,928743.71,1006139.02
2025-Q4,2025,Q4,North America,Cloud AI Services,False,2241846.79,766928.25,397182.59,318466.38,174964.03,1657541.25,584305.54,26.06,560933.32,607677.76
2025-Q4,2025,Q4,North America,Edge Hardware,False,1494060.54,773177.25,177271.25,213629.79,120586.85,1284665.14,209395.4,14.02,201019.59,217771.22
2025-Q4,2025,Q4,Europe,Enterprise SaaS,False,2415922.11,865178.69,280508.3,344478.92,195566.39,1685732.29,730189.81,30.22,700982.22,759397.41
2025-Q4,2025,Q4,Europe,Cloud AI Services,False,1613975.96,568576.18,279611.63,232220.34,128640.59,1209048.74,404927.22,25.09,388730.13,421124.31
2025-Q4,2025,Q4,Europe,Edge Hardware,False,1066693.97,566318.17,125298.53,143027.09,82678.8,917322.58,149371.38,14.0,143396.53,155346.24
2025-Q4,2025,Q4,Asia-Pacific,Enterprise SaaS,False,2231765.92,761114.74,281910.55,292932.44,184599.02,1520556.76,711209.16,31.87,682760.8,739657.53
2025-Q4,2025,Q4,Asia-Pacific,Cloud AI Services,False,1464892.8,511720.76,259370.17,207540.7,117103.22,1095734.84,369157.97,25.2,354391.65,383924.28
2025-Q4,2025,Q4,Asia-Pacific,Edge Hardware,False,1011159.48,527004.16,121886.26,140018.11,80800.63,869709.16,141450.32,13.99,135792.31,147108.33
2026-Q1,2026,Q1,North America,Enterprise SaaS,True,3383466.62,1143709.23,389594.45,484247.53,271602.32,2289153.52,1094313.09,32.34,1017711.18,1170915.01
2026-Q1,2026,Q1,North America,Cloud AI Services,True,2211812.38,774419.74,402277.67,304639.58,174190.65,1655527.63,556284.75,25.15,517344.82,595224.68
2026-Q1,2026,Q1,North America,Edge Hardware,True,1497110.6,763264.3,181853.59,198889.87,122234.06,1266241.82,230868.78,15.42,214707.97,247029.6
2026-Q1,2026,Q1,Europe,Enterprise SaaS,True,2554123.94,898520.9,315530.57,375443.43,208475.24,1797970.14,756153.81,29.61,703223.04,809084.57
2026-Q1,2026,Q1,Europe,Cloud AI Services,True,1548102.23,527969.37,273435.07,216903.96,125130.4,1143438.8,404663.43,26.14,376336.99,432989.87
2026-Q1,2026,Q1,Europe,Edge Hardware,True,1081763.06,564617.98,126869.84,148668.46,84106.37,924262.65,157500.41,14.56,146475.39,168525.44
2026-Q1,2026,Q1,Asia-Pacific,Enterprise SaaS,True,2145924.2,730769.18,249971.96,309925.74,168414.2,1459081.08,686843.12,32.01,638764.11,734922.14
2026-Q1,2026,Q1,Asia-Pacific,Cloud AI Services,True,1641887.06,580330.28,297178.46,223945.02,133190.69,1234644.45,407242.61,24.8,378735.63,435749.59
2026-Q1,2026,Q1,Asia-Pacific,Edge Hardware,True,967513.26,504334.57,125018.49,135061.51,79180.16,843594.73,123918.53,12.81,115244.23,132592.82
2026-Q2,2026,Q2,North America,Enterprise SaaS,True,3320122.58,1161229.74,419580.1,456074.41,275237.89,2312122.14,1008000.44,30.36,917280.4,1098720.48
2026-Q2,2026,Q2,North America,Cloud AI Services,True,2341949.14,810461.32,429548.61,337439.11,189685.93,1767134.96,574814.18,24.54,523080.91,626547.46
2026-Q2,2026,Q2,North America,Edge Hardware,True,1422951.91,729174.31,169486.28,198768.42,115249.25,1212678.27,210273.64,14.78,191349.02,229198.27
2026-Q2,2026,Q2,Europe,Enterprise SaaS,True,2580369.82,879009.66,313176.16,367869.03,208740.73,1768795.58,811574.23,31.45,738532.55,884615.91
2026-Q2,2026,Q2,Europe,Cloud AI Services,True,1781948.75,634084.11,325169.25,248947.69,137820.3,1346021.35,435927.4,24.46,396693.93,475160.87
2026-Q2,2026,Q2,Europe,Edge Hardware,True,1158305.73,604820.86,140129.14,155951.57,90660.95,991562.52,166743.2,14.4,151736.32,181750.09
2026-Q2,2026,Q2,Asia-Pacific,Enterprise SaaS,True,2373414.8,830038.01,290632.72,332560.36,189986.18,1643217.27,730197.53,30.77,664479.75,795915.3
2026-Q2,2026,Q2,Asia-Pacific,Cloud AI Services,True,1575300.23,545664.6,284371.71,217483.5,124928.88,1172448.69,402851.55,25.57,366594.91,439108.19
2026-Q2,2026,Q2,Asia-Pacific,Edge Hardware,True,999692.64,522149.65,118240.15,145229.52,78544.48,864163.81,135528.83,13.56,123331.24,147726.42
2026-Q3,2026,Q3,North America,Enterprise SaaS,True,3464017.19,1201743.37,433726.55,487822.06,282840.3,2406132.27,1057884.93,30.54,941517.58,1174252.27
2026-Q3,2026,Q3,North America,Cloud AI Services,True,2188476.52,770057.81,404439.23,307143.03,178808.97,1660449.05,528027.47,24.13,469944.45,586110.5
2026-Q3,2026,Q3,North America,Edge Hardware,True,1519062.05,812177.48,194859.25,210353.76,120442.17,1337832.66,181229.39,11.93,161294.16,201164.62
2026-Q3,2026,Q3,Europe,Enterprise SaaS,True,2769752.89,1000038.68,327156.85,382877.39,220331.47,1930404.4,839348.5,30.3,747020.16,931676.83
2026-Q3,2026,Q3,Europe,Cloud AI Services,True,1651207.16,567304.31,288263.85,225844.27,132004.94,1213417.37,437789.79,26.51,389632.91,485946.66
2026-Q3,2026,Q3,Europe,Edge Hardware,True,1174267.54,629554.43,136691.7,169252.06,93539.36,1029037.54,145230.0,12.37,129254.7,161205.3
2026-Q3,2026,Q3,Asia-Pacific,Enterprise SaaS,True,2322133.28,823715.79,269270.4,328828.29,186389.1,1608203.58,713929.7,30.74,635397.44,792461.97
2026-Q3,2026,Q3,Asia-Pacific,Cloud AI Services,True,1581712.68,556801.11,305679.61,217203.15,125193.2,1204877.07,376835.62,23.82,335383.7,418287.53
2026-Q3,2026,Q3,Asia-Pacific,Edge Hardware,True,1008329.55,518506.28,118685.84,146201.6,82958.1,866351.83,141977.72,14.08,126360.17,157595.27
